행정구역,생활밀접업종,2021년 1분기,2021년 1분기,2021년 1분기,2022년 1분기,2022년 1분기,2022년 1분기,2023년 1분기,2023년 1분기,2023년 1분기
행정구역,생활밀접업종,전체 점포수,프랜차이즈 점포수,일반 점포수,전체 점포수,프랜차이즈 점포수,일반 점포수,전체 점포수,프랜차이즈 점포수,일반 점포수
행정구역,Unnamed: 1_level_2,Unnamed: 2_level_2,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2,Unnamed: 7_level_2,Unnamed: 8_level_2,Unnamed: 9_level_2,Unnamed: 10_level_2
하위 메뉴 펼침성북구,외식업/ 일식음식점,164,17,147,173,13,160,190,17,173
하위 메뉴 펼침강북구,외식업/ 일식음식점,126,11,115,128,13,115,128,12,116
하위 메뉴 펼침도봉구,외식업/ 일식음식점,91,7,84,102,6,96,108,4,104
하위 메뉴 펼침노원구,외식업/ 일식음식점,169,20,149,180,20,160,178,18,160
하위 메뉴 펼침은평구,외식업/ 일식음식점,164,16,148,189,17,172,193,15,178
하위 메뉴 펼침서대문구,외식업/ 일식음식점,183,19,164,198,18,180,206,17,189
하위 메뉴 펼침마포구,외식업/ 일식음식점,580,59,521,634,57,577,693,56,637
하위 메뉴 펼침양천구,외식업/ 일식음식점,154,12,142,169,12,157,183,13,170
하위 메뉴 펼침강서구,외식업/ 일식음식점,317,43,274,368,43,325,372,37,335
하위 메뉴 펼침구로구,외식업/ 일식음식점,165,23,142,176,25,151,180,24,156
하위 메뉴 펼침금천구,외식업/ 일식음식점,100,23,77,109,23,86,120,22,98
하위 메뉴 펼침영등포구,외식업/ 일식음식점,331,44,287,347,44,303,373,39,334
하위 메뉴 펼침동작구,외식업/ 일식음식점,200,24,176,214,23,191,220,21,199
하위 메뉴 펼침관악구,외식업/ 일식음식점,258,27,231,288,24,264,284,22,262
하위 메뉴 펼침서초구,외식업/ 일식음식점,380,43,337,377,37,340,380,36,344
하위 메뉴 펼침강남구,외식업/ 일식음식점,878,97,781,947,87,860,961,85,876
하위 메뉴 펼침송파구,외식업/ 일식음식점,486,54,432,525,56,469,534,46,488
하위 메뉴 펼침강동구,외식업/ 일식음식점,224,21,203,249,22,227,240,19,221
하위 메뉴 펼침서울시 전체,외식업/ 양식음식점,8126,742,7384,8907,718,8189,9119,682,8437
하위 메뉴 펼침종로구,외식업/ 양식음식점,535,33,502,530,28,502,554,29,525
하위 메뉴 펼침중구,외식업/ 양식음식점,419,52,367,434,49,385,441,50,391
하위 메뉴 펼침용산구,외식업/ 양식음식점,680,31,649,796,29,767,853,24,829
하위 메뉴 펼침성동구,외식업/ 양식음식점,284,25,259,345,25,320,375,23,352
하위 메뉴 펼침광진구,외식업/ 양식음식점,234,18,216,256,20,236,266,20,246
하위 메뉴 펼침동대문구,외식업/ 양식음식점,186,15,171,202,14,188,205,15,190
하위 메뉴 펼침중랑구,외식업/ 양식음식점,112,11,101,127,12,115,127,11,116
하위 메뉴 펼침성북구,외식업/ 양식음식점,234,23,211,250,22,228,242,16,226
하위 메뉴 펼침강북구,외식업/ 양식음식점,92,5,87,107,5,102,109,5,104
하위 메뉴 펼침도봉구,외식업/ 양식음식점,98,6,92,98,6,92,98,4,94
하위 메뉴 펼침노원구,외식업/ 양식음식점,168,30,138,189,32,157,193,31,162
하위 메뉴 펼침은평구,외식업/ 양식음식점,144,10,134,165,11,154,170,11,159
하위 메뉴 펼침서대문구,외식업/ 양식음식점,242,21,221,267,21,246,264,23,241
하위 메뉴 펼침마포구,외식업/ 양식음식점,839,54,785,942,52,890,942,44,898
하위 메뉴 펼침양천구,외식업/ 양식음식점,146,25,121,162,25,137,160,28,132
하위 메뉴 펼침강서구,외식업/ 양식음식점,241,40,201,283,35,248,293,34,259
하위 메뉴 펼침구로구,외식업/ 양식음식점,127,22,105,144,24,120,151,23,128
하위 메뉴 펼침금천구,외식업/ 양식음식점,95,15,80,102,14,88,107,12,95
하위 메뉴 펼침영등포구,외식업/ 양식음식점,316,34,282,341,31,310,349,30,319
하위 메뉴 펼침동작구,외식업/ 양식음식점,145,17,128,153,18,135,162,14,148
하위 메뉴 펼침관악구,외식업/ 양식음식점,262,28,234,284,30,254,273,29,244
하위 메뉴 펼침서초구,외식업/ 양식음식점,520,52,468,551,49,502,568,48,520
하위 메뉴 펼침강남구,외식업/ 양식음식점,1349,107,1242,1446,99,1347,1476,92,1384
하위 메뉴 펼침송파구,외식업/ 양식음식점,465,47,418,521,44,477,523,42,481
하위 메뉴 펼침강동구,외식업/ 양식음식점,193,21,172,212,23,189,218,24,194
하위 메뉴 펼침서울시 전체,외식업/ 제과점,5666,1941,3725,5921,1893,4028,6003,1825,4178
하위 메뉴 펼침종로구,외식업/ 제과점,241,71,170,251,69,182,246,61,185
하위 메뉴 펼침중구,외식업/ 제과점,243,104,139,246,95,151,247,96,151
하위 메뉴 펼침용산구,외식업/ 제과점,218,80,138,238,79,159,248,78,170
하위 메뉴 펼침성동구,외식업/ 제과점,185,54,131,199,52,147,207,49,158
하위 메뉴 펼침광진구,외식업/ 제과점,214,69,145,223,65,158,222,60,162
하위 메뉴 펼침동대문구,외식업/ 제과점,168,57,111,168,59,109,180,56,124
하위 메뉴 펼침중랑구,외식업/ 제과점,149,37,112,145,35,110,148,37,111
하위 메뉴 펼침성북구,외식업/ 제과점,189,73,116,206,75,131,215,75,140
하위 메뉴 펼침강북구,외식업/ 제과점,107,40,67,113,39,74,116,38,78
하위 메뉴 펼침도봉구,외식업/ 제과점,108,38,70,116,42,74,128,42,86
하위 메뉴 펼침노원구,외식업/ 제과점,228,87,141,235,86,149,237,84,153
하위 메뉴 펼침은평구,외식업/ 제과점,200,61,139,211,59,152,219,60,159
하위 메뉴 펼침서대문구,외식업/ 제과점,174,68,106,187,68,119,200,64,136
하위 메뉴 펼침마포구,외식업/ 제과점,382,93,289,401,86,315,418,83,335
하위 메뉴 펼침양천구,외식업/ 제과점,200,70,130,210,70,140,205,68,137
하위 메뉴 펼침강서구,외식업/ 제과점,275,112,163,304,110,194,306,110,196
하위 메뉴 펼침구로구,외식업/ 제과점,155,66,89,169,66,103,166,64,102
하위 메뉴 펼침금천구,외식업/ 제과점,97,36,61,102,36,66,112,35,77
하위 메뉴 펼침영등포구,외식업/ 제과점,249,98,151,258,94,164,257,91,166
하위 메뉴 펼침동작구,외식업/ 제과점,208,67,141,195,58,137,194,56,138
하위 메뉴 펼침관악구,외식업/ 제과점,199,63,136,211,65,146,203,57,146
하위 메뉴 펼침서초구,외식업/ 제과점,362,121,241,373,118,255,363,106,257
하위 메뉴 펼침강남구,외식업/ 제과점,506,168,338,525,161,364,534,155,379
하위 메뉴 펼침송파구,외식업/ 제과점,372,124,248,377,126,251,382,125,257
하위 메뉴 펼침강동구,외식업/ 제과점,237,84,153,258,80,178,250,75,175
