데이터기준년월,시군구명,서비스업종코드,서비스업종,매출등급
202201,성동구,CS100006,패스트푸드,3.0
202201,성동구,CS100007,치킨,3.0
202201,성동구,CS100008,분식,3.0
202201,성동구,CS100009,주점,3.0
202201,성동구,CS100010,커피,3.0
202201,성북구,CS100001,한식,3.0
202201,성북구,CS100002,중식,3.0
202201,성북구,CS100003,일식,4.0
202201,성북구,CS100004,기타 외국식,4.0
202201,성북구,CS100005,제과제빵,3.0
202201,성북구,CS100006,패스트푸드,3.0
202201,성북구,CS100007,치킨,3.0
202201,성북구,CS100008,분식,3.0
202201,성북구,CS100009,주점,3.0
202201,성북구,CS100010,커피,3.0
202201,송파구,CS100001,한식,3.0
202201,송파구,CS100002,중식,3.0
202201,송파구,CS100003,일식,3.0
202201,송파구,CS100004,기타 외국식,3.0
202201,송파구,CS100005,제과제빵,3.0
202201,송파구,CS100006,패스트푸드,3.0
202201,송파구,CS100007,치킨,3.0
202201,송파구,CS100008,분식,3.0
202201,송파구,CS100009,주점,3.0
202201,송파구,CS100010,커피,3.0
202201,양천구,CS100001,한식,3.0
202201,양천구,CS100002,중식,3.0
202201,양천구,CS100003,일식,4.0
202201,양천구,CS100004,기타 외국식,3.0
202201,양천구,CS100005,제과제빵,3.0
202201,양천구,CS100006,패스트푸드,3.0
202201,양천구,CS100007,치킨,3.0
202201,양천구,CS100008,분식,3.0
202201,양천구,CS100009,주점,3.0
202201,양천구,CS100010,커피,3.0
202201,영등포구,CS100001,한식,3.0
202201,영등포구,CS100002,중식,4.0
202201,영등포구,CS100003,일식,3.0
202201,영등포구,CS100004,기타 외국식,3.0
202201,영등포구,CS100005,제과제빵,3.0
202201,영등포구,CS100006,패스트푸드,3.0
202201,영등포구,CS100007,치킨,3.0
202201,영등포구,CS100008,분식,3.0
202201,영등포구,CS100009,주점,3.0
202201,영등포구,CS100010,커피,3.0
202201,용산구,CS100001,한식,3.0
202201,용산구,CS100002,중식,3.0
202201,용산구,CS100003,일식,3.0
202201,용산구,CS100004,기타 외국식,3.0
202201,용산구,CS100005,제과제빵,3.0
202201,용산구,CS100006,패스트푸드,3.0
202201,용산구,CS100007,치킨,3.0
202201,용산구,CS100008,분식,3.0
202201,용산구,CS100009,주점,3.0
202201,용산구,CS100010,커피,3.0
202201,은평구,CS100001,한식,3.0
202201,은평구,CS100002,중식,3.0
202201,은평구,CS100003,일식,4.0
202201,은평구,CS100004,기타 외국식,4.0
202201,은평구,CS100005,제과제빵,3.0
202201,은평구,CS100006,패스트푸드,3.0
202201,은평구,CS100007,치킨,3.0
202201,은평구,CS100008,분식,3.0
202201,은평구,CS100009,주점,3.0
202201,은평구,CS100010,커피,3.0
202201,종로구,CS100001,한식,3.0
202201,종로구,CS100002,중식,3.0
202201,종로구,CS100003,일식,3.0
202201,종로구,CS100004,기타 외국식,3.0
202201,종로구,CS100005,제과제빵,3.0
202201,종로구,CS100006,패스트푸드,3.0
202201,종로구,CS100007,치킨,3.0
202201,종로구,CS100008,분식,3.0
202201,종로구,CS100009,주점,3.0
202201,종로구,CS100010,커피,3.0
202201,중구,CS100001,한식,3.0
202201,중구,CS100002,중식,3.0
202201,중구,CS100003,일식,3.0
202201,중구,CS100004,기타 외국식,3.0
202201,중구,CS100005,제과제빵,3.0
202201,중구,CS100006,패스트푸드,3.0
202201,중구,CS100007,치킨,3.0
202201,중구,CS100008,분식,3.0
202201,중구,CS100009,주점,4.0
202201,중구,CS100010,커피,3.0
202201,중랑구,CS100001,한식,4.0
202201,중랑구,CS100002,중식,3.0
202201,중랑구,CS100003,일식,4.0
202201,중랑구,CS100004,기타 외국식,4.0
202201,중랑구,CS100005,제과제빵,3.5
202201,중랑구,CS100006,패스트푸드,4.0
202201,중랑구,CS100007,치킨,3.0
202201,중랑구,CS100008,분식,4.0
202201,중랑구,CS100009,주점,3.5
202201,중랑구,CS100010,커피,3.0
202202,강남구,CS100001,한식,2.0
202202,강남구,CS100002,중식,2.0
202202,강남구,CS100003,일식,2.0
202202,강남구,CS100004,기타 외국식,2.0
