분기,시군구명,서비스업종코드,서비스업종,매출등급,개업수,폐업수,개업률,폐업률,1년생존률,3년생존률,5년생존률,최근10년영업기간,최근30년영업기간
1,광진구,CS100009,주점,3.0,5,13,1.3,3.3,82.1,37.5,24.8,2.8년,4.2년
1,광진구,CS100010,커피,3.0,40,29,5.3,3.9,81.1,44.1,33.3,2.6년,3.5년
1,구로구,CS100001,한식,3.0,47,35,2.0,1.5,81.8,59.1,35.5,2.8년,4.9년
1,구로구,CS100002,중식,2.0,12,7,3.3,1.9,76.6,42.6,24.5,2.5년,3.7년
1,구로구,CS100003,일식,3.0,4,7,2.3,4.0,76.7,58.3,42.9,2.8년,4.7년
1,구로구,CS100004,기타 외국식,3.0,3,3,2.1,2.1,81.0,45.5,37.9,2.7년,3.7년
1,구로구,CS100005,제과제빵,3.0,6,3,3.6,1.8,82.1,42.9,40.0,2.7년,4.6년
1,구로구,CS100006,패스트푸드,3.0,9,1,4.5,0.5,89.2,46.7,28.6,2.8년,4.4년
1,구로구,CS100007,치킨,3.0,9,10,3.3,3.6,82.6,45.1,29.2,2.6년,4.3년
1,구로구,CS100008,분식,3.0,22,12,4.8,2.6,74.4,47.3,21.3,2.5년,3.9년
1,구로구,CS100009,주점,3.0,6,16,1.5,4.1,68.7,23.5,18.9,2.4년,4년
1,구로구,CS100010,커피,3.0,39,21,6.9,3.7,80.4,52.4,34.1,2.6년,3.3년
1,금천구,CS100001,한식,3.0,45,40,2.5,2.2,82.0,56.3,33.8,2.6년,4.7년
1,금천구,CS100002,중식,2.0,9,4,4.5,2.0,85.7,38.0,29.6,2.3년,3.5년
1,금천구,CS100003,일식,3.0,1,2,0.9,1.8,90.5,57.1,35.3,2.6년,3.9년
1,금천구,CS100004,기타 외국식,2.0,4,2,3.9,2.0,76.0,52.9,33.3,2.5년,3.8년
1,금천구,CS100005,제과제빵,3.0,1,1,1.0,1.0,83.3,46.4,28.6,2.9년,5.1년
1,금천구,CS100006,패스트푸드,3.0,2,5,1.5,3.8,86.7,65.2,50.0,2.8년,4년
1,금천구,CS100007,치킨,3.0,6,8,3.4,4.5,80.6,52.6,20.0,2.8년,4.6년
1,금천구,CS100008,분식,3.0,13,12,3.8,3.5,76.5,54.5,24.6,2.5년,3.7년
