분기,시군구명,서비스업종,최근10년영업기간,최근30년영업기간
3,동대문구,치킨,2.5년,4.2년
3,중랑구,치킨,2.3년,4년
3,성북구,치킨,2.7년,4.5년
3,강북구,치킨,2.4년,4.2년
3,도봉구,치킨,2.6년,4.1년
3,노원구,치킨,2.5년,4.2년
3,은평구,치킨,2.3년,4.1년
3,서대문구,치킨,2.5년,4.6년
3,마포구,치킨,2.7년,4.5년
3,양천구,치킨,2.3년,4.3년
3,강서구,치킨,2.5년,4.1년
3,구로구,치킨,2.6년,4.3년
3,금천구,치킨,2.6년,4.6년
3,영등포구,치킨,2.6년,4.8년
3,동작구,치킨,2.8년,4.5년
3,관악구,치킨,2.6년,4년
3,서초구,치킨,2.7년,4.8년
3,강남구,치킨,2.7년,4.6년
3,송파구,치킨,2.5년,4.4년
