분기,시군구명,서비스업종코드,서비스업종,매출등급
1,서대문구,CS100003,일식,3.0
1,서대문구,CS100004,기타 외국식,3.0
1,서대문구,CS100005,제과제빵,3.0
1,서대문구,CS100006,패스트푸드,3.0
1,서대문구,CS100007,치킨,3.0
1,서대문구,CS100008,분식,3.0
1,서대문구,CS100009,주점,3.0
1,서대문구,CS100010,커피,3.0
1,서초구,CS100001,한식,4.0
1,서초구,CS100002,중식,4.0
1,서초구,CS100003,일식,3.0
1,서초구,CS100004,기타 외국식,3.0
1,서초구,CS100005,제과제빵,3.0
1,서초구,CS100006,패스트푸드,3.0
1,서초구,CS100007,치킨,4.0
1,서초구,CS100008,분식,3.0
1,서초구,CS100009,주점,3.0
1,서초구,CS100010,커피,3.0
1,성동구,CS100001,한식,3.0
1,성동구,CS100002,중식,3.0
1,성동구,CS100003,일식,3.0
1,성동구,CS100004,기타 외국식,3.0
1,성동구,CS100005,제과제빵,3.0
1,성동구,CS100006,패스트푸드,3.0
1,성동구,CS100007,치킨,3.0
1,성동구,CS100008,분식,3.0
1,성동구,CS100009,주점,3.0
1,성동구,CS100010,커피,3.0
1,성북구,CS100001,한식,3.0
1,성북구,CS100002,중식,3.0
1,성북구,CS100003,일식,3.0
1,성북구,CS100004,기타 외국식,2.0
1,성북구,CS100005,제과제빵,3.0
1,성북구,CS100006,패스트푸드,3.0
1,성북구,CS100007,치킨,3.0
1,성북구,CS100008,분식,3.0
1,성북구,CS100009,주점,3.0
1,성북구,CS100010,커피,3.0
1,송파구,CS100001,한식,3.0
1,송파구,CS100002,중식,3.0
1,송파구,CS100003,일식,3.0
1,송파구,CS100004,기타 외국식,3.0
1,송파구,CS100005,제과제빵,3.0
1,송파구,CS100006,패스트푸드,3.0
1,송파구,CS100007,치킨,3.0
1,송파구,CS100008,분식,3.0
1,송파구,CS100009,주점,3.0
1,송파구,CS100010,커피,3.0
1,양천구,CS100001,한식,3.0
1,양천구,CS100002,중식,3.0
1,양천구,CS100003,일식,3.0
1,양천구,CS100004,기타 외국식,3.0
1,양천구,CS100005,제과제빵,3.0
1,양천구,CS100006,패스트푸드,3.0
1,양천구,CS100007,치킨,3.0
1,양천구,CS100008,분식,3.0
1,양천구,CS100009,주점,3.0
1,양천구,CS100010,커피,3.0
1,영등포구,CS100001,한식,3.0
1,영등포구,CS100002,중식,2.0
1,영등포구,CS100003,일식,3.0
1,영등포구,CS100004,기타 외국식,3.0
1,영등포구,CS100005,제과제빵,3.0
1,영등포구,CS100006,패스트푸드,3.0
1,영등포구,CS100007,치킨,3.0
1,영등포구,CS100008,분식,3.0
1,영등포구,CS100009,주점,3.0
1,영등포구,CS100010,커피,3.0
1,용산구,CS100001,한식,3.0
1,용산구,CS100002,중식,3.0
1,용산구,CS100003,일식,3.0
1,용산구,CS100004,기타 외국식,3.0
1,용산구,CS100005,제과제빵,3.0
1,용산구,CS100006,패스트푸드,3.0
1,용산구,CS100007,치킨,3.0
1,용산구,CS100008,분식,3.0
1,용산구,CS100009,주점,3.0
1,용산구,CS100010,커피,3.0
1,은평구,CS100001,한식,3.0
1,은평구,CS100002,중식,3.0
1,은평구,CS100003,일식,3.0
1,은평구,CS100004,기타 외국식,2.0
1,은평구,CS100005,제과제빵,3.0
1,은평구,CS100006,패스트푸드,3.0
1,은평구,CS100007,치킨,3.0
1,은평구,CS100008,분식,3.0
1,은평구,CS100009,주점,3.0
1,은평구,CS100010,커피,3.0
1,종로구,CS100001,한식,3.0
1,종로구,CS100002,중식,3.0
1,종로구,CS100003,일식,3.0
1,종로구,CS100004,기타 외국식,3.0
1,종로구,CS100005,제과제빵,3.0
1,종로구,CS100006,패스트푸드,3.0
1,종로구,CS100007,치킨,3.0
1,종로구,CS100008,분식,3.0
1,종로구,CS100009,주점,3.0
1,종로구,CS100010,커피,3.0
1,중구,CS100001,한식,3.0
1,중구,CS100002,중식,3.0
1,중구,CS100003,일식,3.0
1,중구,CS100004,기타 외국식,3.0
1,중구,CS100005,제과제빵,3.0
1,중구,CS100006,패스트푸드,3.0
1,중구,CS100007,치킨,3.0
1,중구,CS100008,분식,3.0
1,중구,CS100009,주점,3.0
1,중구,CS100010,커피,3.0
1,중랑구,CS100001,한식,3.0
1,중랑구,CS100002,중식,3.0
1,중랑구,CS100003,일식,2.0
1,중랑구,CS100004,기타 외국식,2.0
1,중랑구,CS100005,제과제빵,3.0
1,중랑구,CS100006,패스트푸드,3.0
1,중랑구,CS100007,치킨,3.0
1,중랑구,CS100008,분식,2.0
1,중랑구,CS100009,주점,3.0
1,중랑구,CS100010,커피,3.0
2,강남구,CS100001,한식,4.0
2,강남구,CS100002,중식,4.0
2,강남구,CS100003,일식,4.0
2,강남구,CS100004,기타 외국식,3.0
2,강남구,CS100005,제과제빵,3.0
2,강남구,CS100006,패스트푸드,3.0
2,강남구,CS100007,치킨,4.0
2,강남구,CS100008,분식,4.0
2,강남구,CS100009,주점,4.0
2,강남구,CS100010,커피,3.0
2,강동구,CS100001,한식,3.0
2,강동구,CS100002,중식,3.0
2,강동구,CS100003,일식,3.0
2,강동구,CS100004,기타 외국식,3.0
2,강동구,CS100005,제과제빵,3.0
2,강동구,CS100006,패스트푸드,3.0
2,강동구,CS100007,치킨,3.0
2,강동구,CS100008,분식,3.0
2,강동구,CS100009,주점,3.0
2,강동구,CS100010,커피,3.0
2,강북구,CS100001,한식,3.0
2,강북구,CS100002,중식,2.0
2,강북구,CS100003,일식,3.0
2,강북구,CS100004,기타 외국식,2.0
2,강북구,CS100005,제과제빵,3.0
2,강북구,CS100006,패스트푸드,3.0
2,강북구,CS100007,치킨,3.0
2,강북구,CS100008,분식,3.0
2,강북구,CS100009,주점,3.0
2,강북구,CS100010,커피,3.0
2,강서구,CS100001,한식,3.0
2,강서구,CS100002,중식,3.0
2,강서구,CS100003,일식,3.0
2,강서구,CS100004,기타 외국식,3.0
2,강서구,CS100005,제과제빵,3.0
2,강서구,CS100006,패스트푸드,3.0
2,강서구,CS100007,치킨,3.0
2,강서구,CS100008,분식,3.0
2,강서구,CS100009,주점,3.0
2,강서구,CS100010,커피,3.0
2,관악구,CS100001,한식,3.0
2,관악구,CS100002,중식,3.0
2,관악구,CS100003,일식,3.0
2,관악구,CS100004,기타 외국식,3.0
2,관악구,CS100005,제과제빵,3.0
2,관악구,CS100006,패스트푸드,3.0
2,관악구,CS100007,치킨,3.0
2,관악구,CS100008,분식,3.0
2,관악구,CS100009,주점,3.0
2,관악구,CS100010,커피,3.0
2,광진구,CS100001,한식,3.0
2,광진구,CS100002,중식,3.0
2,광진구,CS100003,일식,3.0
2,광진구,CS100004,기타 외국식,3.0
2,광진구,CS100005,제과제빵,3.0
2,광진구,CS100006,패스트푸드,3.0
2,광진구,CS100007,치킨,3.0
2,광진구,CS100008,분식,3.0
2,광진구,CS100009,주점,3.0
2,광진구,CS100010,커피,3.0
2,구로구,CS100001,한식,3.0
2,구로구,CS100002,중식,2.0
2,구로구,CS100003,일식,3.0
2,구로구,CS100004,기타 외국식,3.0
2,구로구,CS100005,제과제빵,3.0
2,구로구,CS100006,패스트푸드,3.0
2,구로구,CS100007,치킨,3.0
2,구로구,CS100008,분식,3.0
2,구로구,CS100009,주점,3.0
2,구로구,CS100010,커피,3.0
2,금천구,CS100001,한식,3.0
2,금천구,CS100002,중식,3.0
2,금천구,CS100003,일식,3.0
2,금천구,CS100004,기타 외국식,2.0
2,금천구,CS100005,제과제빵,3.0
2,금천구,CS100006,패스트푸드,3.0
2,금천구,CS100007,치킨,3.0
2,금천구,CS100008,분식,3.0
2,금천구,CS100009,주점,3.0
2,금천구,CS100010,커피,3.0
2,노원구,CS100001,한식,3.0
2,노원구,CS100002,중식,3.0
2,노원구,CS100003,일식,3.0
2,노원구,CS100004,기타 외국식,3.0
2,노원구,CS100005,제과제빵,3.0
2,노원구,CS100006,패스트푸드,3.0
2,노원구,CS100007,치킨,3.0
2,노원구,CS100008,분식,3.0
2,노원구,CS100009,주점,3.0
2,노원구,CS100010,커피,3.0
2,도봉구,CS100001,한식,3.0
2,도봉구,CS100002,중식,3.0
2,도봉구,CS100003,일식,2.0
2,도봉구,CS100004,기타 외국식,2.0
2,도봉구,CS100005,제과제빵,3.0
2,도봉구,CS100006,패스트푸드,3.0
2,도봉구,CS100007,치킨,3.0
2,도봉구,CS100008,분식,3.0
2,도봉구,CS100009,주점,2.0
2,도봉구,CS100010,커피,3.0
2,동대문구,CS100001,한식,3.0
2,동대문구,CS100002,중식,3.0
2,동대문구,CS100003,일식,2.0
2,동대문구,CS100004,기타 외국식,2.0
2,동대문구,CS100005,제과제빵,3.0
2,동대문구,CS100006,패스트푸드,3.0
2,동대문구,CS100007,치킨,3.0
2,동대문구,CS100008,분식,3.0
2,동대문구,CS100009,주점,3.0
2,동대문구,CS100010,커피,3.0
2,동작구,CS100001,한식,3.0
2,동작구,CS100002,중식,3.0
2,동작구,CS100003,일식,3.0
2,동작구,CS100004,기타 외국식,3.0
2,동작구,CS100005,제과제빵,3.0
2,동작구,CS100006,패스트푸드,3.0
2,동작구,CS100007,치킨,3.0
2,동작구,CS100008,분식,3.0
2,동작구,CS100009,주점,3.0
2,동작구,CS100010,커피,3.0
2,마포구,CS100001,한식,3.0
2,마포구,CS100002,중식,3.0
2,마포구,CS100003,일식,3.0
2,마포구,CS100004,기타 외국식,3.0
2,마포구,CS100005,제과제빵,3.0
2,마포구,CS100006,패스트푸드,3.0
2,마포구,CS100007,치킨,3.0
2,마포구,CS100008,분식,3.0
2,마포구,CS100009,주점,3.0
2,마포구,CS100010,커피,3.0
2,서대문구,CS100001,한식,3.0
2,서대문구,CS100002,중식,3.0
2,서대문구,CS100003,일식,3.0
2,서대문구,CS100004,기타 외국식,3.0
2,서대문구,CS100005,제과제빵,3.0
2,서대문구,CS100006,패스트푸드,3.0
2,서대문구,CS100007,치킨,3.0
2,서대문구,CS100008,분식,3.0
2,서대문구,CS100009,주점,3.0
2,서대문구,CS100010,커피,3.0
2,서초구,CS100001,한식,4.0
2,서초구,CS100002,중식,4.0
2,서초구,CS100003,일식,3.0
2,서초구,CS100004,기타 외국식,3.0
2,서초구,CS100005,제과제빵,3.0
2,서초구,CS100006,패스트푸드,3.0
2,서초구,CS100007,치킨,4.0
2,서초구,CS100008,분식,3.0
2,서초구,CS100009,주점,3.0
2,서초구,CS100010,커피,3.0
2,성동구,CS100001,한식,3.0
2,성동구,CS100002,중식,3.0
2,성동구,CS100003,일식,3.0
2,성동구,CS100004,기타 외국식,3.0
2,성동구,CS100005,제과제빵,3.0
2,성동구,CS100006,패스트푸드,3.0
2,성동구,CS100007,치킨,3.0
2,성동구,CS100008,분식,3.0
2,성동구,CS100009,주점,3.0
2,성동구,CS100010,커피,3.0
2,성북구,CS100001,한식,3.0
2,성북구,CS100002,중식,3.0
2,성북구,CS100003,일식,2.0
2,성북구,CS100004,기타 외국식,2.0
2,성북구,CS100005,제과제빵,3.0
2,성북구,CS100006,패스트푸드,3.0
2,성북구,CS100007,치킨,3.0
2,성북구,CS100008,분식,3.0
2,성북구,CS100009,주점,3.0
2,성북구,CS100010,커피,3.0
2,송파구,CS100001,한식,3.0
2,송파구,CS100002,중식,3.0
2,송파구,CS100003,일식,3.0
2,송파구,CS100004,기타 외국식,3.0
2,송파구,CS100005,제과제빵,3.0
2,송파구,CS100006,패스트푸드,3.0
2,송파구,CS100007,치킨,3.0
2,송파구,CS100008,분식,3.0
2,송파구,CS100009,주점,3.0
2,송파구,CS100010,커피,3.0
2,양천구,CS100001,한식,3.0
2,양천구,CS100002,중식,3.0
2,양천구,CS100003,일식,2.0
2,양천구,CS100004,기타 외국식,3.0
2,양천구,CS100005,제과제빵,3.0
2,양천구,CS100006,패스트푸드,3.0
2,양천구,CS100007,치킨,3.0
2,양천구,CS100008,분식,3.0
2,양천구,CS100009,주점,3.0
2,양천구,CS100010,커피,3.0
2,영등포구,CS100001,한식,3.0
2,영등포구,CS100002,중식,2.0
2,영등포구,CS100003,일식,3.0
2,영등포구,CS100004,기타 외국식,3.0
2,영등포구,CS100005,제과제빵,3.0
2,영등포구,CS100006,패스트푸드,3.0
2,영등포구,CS100007,치킨,3.0
2,영등포구,CS100008,분식,3.0
2,영등포구,CS100009,주점,3.0
2,영등포구,CS100010,커피,3.0
2,용산구,CS100001,한식,3.0
2,용산구,CS100002,중식,4.0
2,용산구,CS100003,일식,3.0
2,용산구,CS100004,기타 외국식,3.0
2,용산구,CS100005,제과제빵,3.0
2,용산구,CS100006,패스트푸드,3.0
2,용산구,CS100007,치킨,3.0
2,용산구,CS100008,분식,3.0
2,용산구,CS100009,주점,3.0
2,용산구,CS100010,커피,3.0
2,은평구,CS100001,한식,3.0
2,은평구,CS100002,중식,3.0
2,은평구,CS100003,일식,2.0
2,은평구,CS100004,기타 외국식,2.0
2,은평구,CS100005,제과제빵,3.0
2,은평구,CS100006,패스트푸드,3.0
2,은평구,CS100007,치킨,3.0
2,은평구,CS100008,분식,3.0
2,은평구,CS100009,주점,3.0
2,은평구,CS100010,커피,3.0
2,종로구,CS100001,한식,3.0
2,종로구,CS100002,중식,3.0
2,종로구,CS100003,일식,3.0
2,종로구,CS100004,기타 외국식,3.0
2,종로구,CS100005,제과제빵,3.0
2,종로구,CS100006,패스트푸드,3.0
2,종로구,CS100007,치킨,3.0
2,종로구,CS100008,분식,3.0
2,종로구,CS100009,주점,3.0
2,종로구,CS100010,커피,3.0
2,중구,CS100001,한식,3.0
2,중구,CS100002,중식,3.0
2,중구,CS100003,일식,3.0
2,중구,CS100004,기타 외국식,3.0
2,중구,CS100005,제과제빵,3.0
2,중구,CS100006,패스트푸드,3.0
2,중구,CS100007,치킨,3.0
2,중구,CS100008,분식,3.0
2,중구,CS100009,주점,3.0
2,중구,CS100010,커피,3.0
2,중랑구,CS100001,한식,3.0
2,중랑구,CS100002,중식,2.0
2,중랑구,CS100003,일식,2.0
2,중랑구,CS100004,기타 외국식,2.0
2,중랑구,CS100005,제과제빵,3.0
2,중랑구,CS100006,패스트푸드,3.0
2,중랑구,CS100007,치킨,3.0
2,중랑구,CS100008,분식,2.0
2,중랑구,CS100009,주점,3.0
2,중랑구,CS100010,커피,3.0
3,강남구,CS100001,한식,4.0
3,강남구,CS100002,중식,4.0
3,강남구,CS100003,일식,4.0
3,강남구,CS100004,기타 외국식,3.0
3,강남구,CS100005,제과제빵,3.0
3,강남구,CS100006,패스트푸드,3.0
3,강남구,CS100007,치킨,4.0
3,강남구,CS100008,분식,4.0
3,강남구,CS100009,주점,4.0
3,강남구,CS100010,커피,3.0
3,강동구,CS100001,한식,3.0
3,강동구,CS100002,중식,3.0
3,강동구,CS100003,일식,3.0
3,강동구,CS100004,기타 외국식,3.0
3,강동구,CS100005,제과제빵,3.0
3,강동구,CS100006,패스트푸드,3.0
3,강동구,CS100007,치킨,3.0
3,강동구,CS100008,분식,3.0
3,강동구,CS100009,주점,3.0
3,강동구,CS100010,커피,3.0
3,강북구,CS100001,한식,3.0
3,강북구,CS100002,중식,2.0
3,강북구,CS100003,일식,3.0
3,강북구,CS100004,기타 외국식,2.0
3,강북구,CS100005,제과제빵,3.0
3,강북구,CS100006,패스트푸드,3.0
3,강북구,CS100007,치킨,3.0
3,강북구,CS100008,분식,2.0
3,강북구,CS100009,주점,3.0
3,강북구,CS100010,커피,3.0
3,강서구,CS100001,한식,3.0
3,강서구,CS100002,중식,3.0
3,강서구,CS100003,일식,3.0
3,강서구,CS100004,기타 외국식,3.0
3,강서구,CS100005,제과제빵,3.0
3,강서구,CS100006,패스트푸드,3.0
3,강서구,CS100007,치킨,3.0
3,강서구,CS100008,분식,3.0
3,강서구,CS100009,주점,3.0
3,강서구,CS100010,커피,3.0
3,관악구,CS100001,한식,3.0
3,관악구,CS100002,중식,3.0
3,관악구,CS100003,일식,3.0
3,관악구,CS100004,기타 외국식,3.0
3,관악구,CS100005,제과제빵,3.0
3,관악구,CS100006,패스트푸드,3.0
3,관악구,CS100007,치킨,3.0
3,관악구,CS100008,분식,3.0
3,관악구,CS100009,주점,3.0
3,관악구,CS100010,커피,3.0
3,광진구,CS100001,한식,3.0
3,광진구,CS100002,중식,3.0
3,광진구,CS100003,일식,3.0
3,광진구,CS100004,기타 외국식,3.0
3,광진구,CS100005,제과제빵,3.0
3,광진구,CS100006,패스트푸드,3.0
3,광진구,CS100007,치킨,3.0
3,광진구,CS100008,분식,3.0
3,광진구,CS100009,주점,3.0
3,광진구,CS100010,커피,3.0
3,구로구,CS100001,한식,3.0
3,구로구,CS100002,중식,2.0
3,구로구,CS100003,일식,3.0
3,구로구,CS100004,기타 외국식,3.0
3,구로구,CS100005,제과제빵,3.0
3,구로구,CS100006,패스트푸드,3.0
3,구로구,CS100007,치킨,3.0
3,구로구,CS100008,분식,3.0
3,구로구,CS100009,주점,3.0
3,구로구,CS100010,커피,3.0
3,금천구,CS100001,한식,3.0
3,금천구,CS100002,중식,2.0
3,금천구,CS100003,일식,3.0
3,금천구,CS100004,기타 외국식,2.0
3,금천구,CS100005,제과제빵,3.0
3,금천구,CS100006,패스트푸드,3.0
3,금천구,CS100007,치킨,3.0
3,금천구,CS100008,분식,3.0
3,금천구,CS100009,주점,3.0
3,금천구,CS100010,커피,3.0
3,노원구,CS100001,한식,3.0
3,노원구,CS100002,중식,3.0
3,노원구,CS100003,일식,3.0
3,노원구,CS100004,기타 외국식,3.0
3,노원구,CS100005,제과제빵,3.0
3,노원구,CS100006,패스트푸드,3.0
3,노원구,CS100007,치킨,3.0
3,노원구,CS100008,분식,3.0
3,노원구,CS100009,주점,3.0
3,노원구,CS100010,커피,3.0
3,도봉구,CS100001,한식,3.0
3,도봉구,CS100002,중식,3.0
3,도봉구,CS100003,일식,2.0
3,도봉구,CS100004,기타 외국식,2.0
3,도봉구,CS100005,제과제빵,3.0
3,도봉구,CS100006,패스트푸드,3.0
3,도봉구,CS100007,치킨,3.0
3,도봉구,CS100008,분식,3.0
3,도봉구,CS100009,주점,2.0
3,도봉구,CS100010,커피,3.0
3,동대문구,CS100001,한식,3.0
3,동대문구,CS100002,중식,3.0
3,동대문구,CS100003,일식,2.0
3,동대문구,CS100004,기타 외국식,2.0
3,동대문구,CS100005,제과제빵,3.0
3,동대문구,CS100006,패스트푸드,3.0
3,동대문구,CS100007,치킨,3.0
3,동대문구,CS100008,분식,3.0
3,동대문구,CS100009,주점,3.0
3,동대문구,CS100010,커피,3.0
3,동작구,CS100001,한식,3.0
3,동작구,CS100002,중식,3.0
3,동작구,CS100003,일식,3.0
3,동작구,CS100004,기타 외국식,3.0
3,동작구,CS100005,제과제빵,3.0
3,동작구,CS100006,패스트푸드,3.0
3,동작구,CS100007,치킨,3.0
3,동작구,CS100008,분식,3.0
3,동작구,CS100009,주점,3.0
3,동작구,CS100010,커피,3.0
3,마포구,CS100001,한식,3.0
3,마포구,CS100002,중식,3.0
3,마포구,CS100003,일식,3.0
3,마포구,CS100004,기타 외국식,3.0
3,마포구,CS100005,제과제빵,3.0
3,마포구,CS100006,패스트푸드,3.0
3,마포구,CS100007,치킨,3.0
3,마포구,CS100008,분식,3.0
3,마포구,CS100009,주점,3.0
3,마포구,CS100010,커피,3.0
3,서대문구,CS100001,한식,3.0
3,서대문구,CS100002,중식,3.0
3,서대문구,CS100003,일식,3.0
3,서대문구,CS100004,기타 외국식,3.0
3,서대문구,CS100005,제과제빵,3.0
3,서대문구,CS100006,패스트푸드,3.0
3,서대문구,CS100007,치킨,3.0
3,서대문구,CS100008,분식,3.0
3,서대문구,CS100009,주점,3.0
3,서대문구,CS100010,커피,3.0
3,서초구,CS100001,한식,4.0
3,서초구,CS100002,중식,4.0
3,서초구,CS100003,일식,3.0
3,서초구,CS100004,기타 외국식,3.0
3,서초구,CS100005,제과제빵,3.0
3,서초구,CS100006,패스트푸드,3.0
3,서초구,CS100007,치킨,4.0
3,서초구,CS100008,분식,3.0
3,서초구,CS100009,주점,3.0
3,서초구,CS100010,커피,3.0
3,성동구,CS100001,한식,3.0
3,성동구,CS100002,중식,3.0
3,성동구,CS100003,일식,3.0
3,성동구,CS100004,기타 외국식,3.0
3,성동구,CS100005,제과제빵,3.0
3,성동구,CS100006,패스트푸드,3.0
3,성동구,CS100007,치킨,3.0
3,성동구,CS100008,분식,3.0
3,성동구,CS100009,주점,3.0
3,성동구,CS100010,커피,3.0
3,성북구,CS100001,한식,3.0
3,성북구,CS100002,중식,3.0
3,성북구,CS100003,일식,2.0
3,성북구,CS100004,기타 외국식,2.0
3,성북구,CS100005,제과제빵,3.0
3,성북구,CS100006,패스트푸드,3.0
3,성북구,CS100007,치킨,3.0
3,성북구,CS100008,분식,3.0
3,성북구,CS100009,주점,3.0
3,성북구,CS100010,커피,3.0
3,송파구,CS100001,한식,3.0
3,송파구,CS100002,중식,3.0
3,송파구,CS100003,일식,3.0
3,송파구,CS100004,기타 외국식,3.0
3,송파구,CS100005,제과제빵,3.0
3,송파구,CS100006,패스트푸드,3.0
3,송파구,CS100007,치킨,3.0
3,송파구,CS100008,분식,3.0
3,송파구,CS100009,주점,3.0
3,송파구,CS100010,커피,3.0
3,양천구,CS100001,한식,3.0
3,양천구,CS100002,중식,3.0
3,양천구,CS100003,일식,2.0
3,양천구,CS100004,기타 외국식,2.0
3,양천구,CS100005,제과제빵,3.0
3,양천구,CS100006,패스트푸드,3.0
3,양천구,CS100007,치킨,3.0
3,양천구,CS100008,분식,3.0
3,양천구,CS100009,주점,3.0
3,양천구,CS100010,커피,3.0
3,영등포구,CS100001,한식,3.0
3,영등포구,CS100002,중식,3.0
3,영등포구,CS100003,일식,3.0
3,영등포구,CS100004,기타 외국식,3.0
3,영등포구,CS100005,제과제빵,3.0
3,영등포구,CS100006,패스트푸드,3.0
3,영등포구,CS100007,치킨,3.0
3,영등포구,CS100008,분식,3.0
3,영등포구,CS100009,주점,3.0
3,영등포구,CS100010,커피,3.0
3,용산구,CS100001,한식,3.0
3,용산구,CS100002,중식,4.0
3,용산구,CS100003,일식,3.0
3,용산구,CS100004,기타 외국식,3.0
3,용산구,CS100005,제과제빵,3.0
3,용산구,CS100006,패스트푸드,3.0
3,용산구,CS100007,치킨,3.0
3,용산구,CS100008,분식,3.0
3,용산구,CS100009,주점,3.0
3,용산구,CS100010,커피,3.0
3,은평구,CS100001,한식,3.0
3,은평구,CS100002,중식,3.0
3,은평구,CS100003,일식,2.0
3,은평구,CS100004,기타 외국식,2.0
3,은평구,CS100005,제과제빵,3.0
3,은평구,CS100006,패스트푸드,3.0
3,은평구,CS100007,치킨,3.0
3,은평구,CS100008,분식,3.0
3,은평구,CS100009,주점,3.0
3,은평구,CS100010,커피,3.0
