분기,시군구명,서비스업종,1년생존률,3년생존률,5년생존률
3,동대문구,중식,77.3,47.5,36.1
3,중랑구,중식,71.4,38.5,35
3,성북구,중식,82.1,61.2,47.1
3,강북구,중식,60.9,64.3,25.9
3,도봉구,중식,81,60,37.5
3,노원구,중식,76.7,45.5,36.4
3,은평구,중식,78.9,28,35.3
3,서대문구,중식,84.4,45.1,40.9
3,마포구,중식,71.4,53.3,43.1
3,양천구,중식,73.1,56.5,37.5
3,강서구,중식,64.5,49.1,37.7
3,구로구,중식,82,52,24.3
3,금천구,중식,74.5,39.2,36.7
3,영등포구,중식,80,53.1,31.4
3,동작구,중식,73.9,50,45.5
3,관악구,중식,62.7,58.5,30.5
3,서초구,중식,76.7,37.5,35.7
3,강남구,중식,68.7,48,34.8
3,송파구,중식,66.7,48.3,37
3,강동구,중식,75,48.5,26.1
4,종로구,중식,76.9,40.8,41.3
4,중구,중식,65.6,54.2,33.3
4,용산구,중식,89.3,48.1,37.5
4,성동구,중식,76.7,71.4,47.4
4,광진구,중식,87.1,47.1,45.7
4,동대문구,중식,82.5,45.5,35.3
4,중랑구,중식,76,35.7,28.6
4,성북구,중식,71.4,62.5,47.4
4,강북구,중식,72,41.9,34.6
4,도봉구,중식,75,58.8,36.8
4,노원구,중식,71,53.1,50
4,은평구,중식,61.1,48.3,36.7
4,서대문구,중식,85.3,42.9,36
4,마포구,중식,72.9,49.4,43.9
4,양천구,중식,79.3,71.4,23.1
4,강서구,중식,65.2,49.1,40.7
4,구로구,중식,74.2,48,27.1
4,금천구,중식,72,30,36.1
4,영등포구,중식,82.8,53.7,30.9
4,동작구,중식,76.2,51.4,54.5
4,관악구,중식,64.4,58.7,26
4,서초구,중식,75.6,44.4,38.1
4,강남구,중식,66.2,50.9,45.6
4,송파구,중식,59.4,40.7,35.8
4,강동구,중식,71.4,50,32.3
1,종로구,일식,94.4,51.3,33.9
1,중구,일식,100,53.8,31.3
1,용산구,일식,81.4,54.5,20.5
1,성동구,일식,89.2,43.9,25
1,광진구,일식,78.8,50.8,26.8
1,동대문구,일식,82.8,33.3,46.4
1,중랑구,일식,81.3,61.5,61.1
1,성북구,일식,73.1,53.3,30.4
1,강북구,일식,77.8,53.6,24.2
1,도봉구,일식,75,57.1,27.8
1,노원구,일식,82.9,44.2,39.5
1,은평구,일식,90,56.3,25
1,서대문구,일식,90.5,57.8,33.3
1,마포구,일식,87,46.9,34.8
1,양천구,일식,77.1,51.4,40.9
1,강서구,일식,82.1,44.9,30.4
1,구로구,일식,76.7,58.3,42.9
1,금천구,일식,90.5,57.1,35.3
1,영등포구,일식,85.3,43.4,47.9
1,동작구,일식,85.2,54.5,33.3
1,관악구,일식,77.6,48.4,29.8
1,서초구,일식,91.1,60,29.9
1,강남구,일식,83.2,62.9,43.5
1,송파구,일식,82.4,47.8,43
1,강동구,일식,88.5,56.3,28.6
2,종로구,일식,88.9,54.2,43.4
2,중구,일식,91.8,54.5,35
2,용산구,일식,85,63.5,21.7
2,성동구,일식,88.6,46.8,32.5
2,광진구,일식,70.8,55.4,26.2
2,동대문구,일식,80,36.8,46.2
2,중랑구,일식,87.5,65.4,64.3
2,성북구,일식,80,53.7,35.7
2,강북구,일식,78.6,44.1,27
2,도봉구,일식,75,57.1,37.5
2,노원구,일식,91.2,41.9,31.9
2,은평구,일식,82.5,54.5,26.2
2,서대문구,일식,74.1,62.5,25.6
2,마포구,일식,87.6,49.4,37
2,양천구,일식,76.5,56.3,42.9
2,강서구,일식,85.1,49.4,40.7
2,구로구,일식,80,64,48.6
