분기,시군구명,서비스업종,개업수,폐업수,개업률,폐업률
3,성동구,중식,4,6,2.6,3.9
3,광진구,중식,13,8,5.3,3.3
3,동대문구,중식,11,18,5.3,8.7
3,중랑구,중식,7,13,6.4,11.9
3,성북구,중식,7,8,4,4.6
3,강북구,중식,7,6,5.6,4.8
3,도봉구,중식,4,9,4.3,9.7
3,노원구,중식,6,8,3.8,5.1
3,은평구,중식,9,9,5.6,5.6
3,서대문구,중식,10,7,5.4,3.8
3,마포구,중식,17,18,5.3,5.6
3,양천구,중식,8,4,5.8,2.9
3,강서구,중식,19,25,7.5,9.9
3,구로구,중식,17,12,4.5,3.2
3,금천구,중식,17,11,8,5.2
3,영등포구,중식,30,29,4.9,4.7
3,동작구,중식,6,7,3.6,4.2
3,관악구,중식,11,15,5,6.8
3,서초구,중식,9,17,3.5,6.5
3,강남구,중식,26,20,5.4,4.2
3,송파구,중식,13,18,4.7,6.6
3,강동구,중식,11,11,6.3,6.3
4,종로구,중식,7,9,3.3,4.3
4,중구,중식,7,9,2.7,3.4
4,용산구,중식,2,6,1.2,3.6
4,성동구,중식,6,6,3.9,3.9
4,광진구,중식,20,15,8,6
4,동대문구,중식,13,4,6,1.8
4,중랑구,중식,8,2,7,1.7
4,성북구,중식,9,8,5.2,4.6
4,강북구,중식,10,10,8.1,8.1
4,도봉구,중식,5,5,5.4,5.4
4,노원구,중식,8,3,5,1.9
4,은평구,중식,8,9,5,5.6
4,서대문구,중식,4,5,2.2,2.7
4,마포구,중식,21,20,6.5,6.2
4,양천구,중식,11,6,7.6,4.2
4,강서구,중식,14,14,5.5,5.5
4,구로구,중식,22,24,5.9,6.4
4,금천구,중식,13,11,6.1,5.1
4,영등포구,중식,37,20,5.9,3.2
4,동작구,중식,8,7,4.8,4.2
4,관악구,중식,14,10,6.3,4.5
4,서초구,중식,10,12,3.9,4.7
4,강남구,중식,16,15,3.3,3.1
4,송파구,중식,16,14,5.8,5.1
4,강동구,중식,9,6,5,3.4
1,종로구,일식,7,5,2.3,1.7
1,중구,일식,4,6,1.4,2.1
1,용산구,일식,5,5,1.9,1.9
1,성동구,일식,7,4,3.9,2.2
1,광진구,일식,6,4,2.4,1.6
1,동대문구,일식,8,8,4.6,4.6
1,중랑구,일식,7,4,5,2.9
1,성북구,일식,4,1,2.3,0.6
1,강북구,일식,5,4,3.9,3.1
1,도봉구,일식,3,1,2.9,1
1,노원구,일식,1,3,0.6,1.7
1,은평구,일식,11,3,5.8,1.6
1,서대문구,일식,3,5,1.5,2.5
1,마포구,일식,18,12,2.8,1.9
1,양천구,일식,4,4,2.4,2.4
1,강서구,일식,20,8,5.4,2.2
1,구로구,일식,4,7,2.3,4
1,금천구,일식,1,2,0.9,1.8
1,영등포구,일식,10,7,2.9,2
1,동작구,일식,6,3,2.8,1.4
1,관악구,일식,11,9,3.8,3.1
1,서초구,일식,12,9,3.2,2.4
1,강남구,일식,27,27,2.9,2.9
1,송파구,일식,20,13,3.8,2.5
1,강동구,일식,10,5,4,2
2,종로구,일식,15,6,4.9,2
2,중구,일식,10,13,3.5,4.5
2,용산구,일식,7,9,2.7,3.5
2,성동구,일식,8,3,4.3,1.6
2,광진구,일식,15,8,5.8,3.1
2,동대문구,일식,6,3,3.4,1.7
2,중랑구,일식,4,2,2.8,1.4
2,성북구,일식,8,2,4.5,1.1
2,강북구,일식,7,8,5.5,6.3
2,도봉구,일식,9,6,8.6,5.7
2,노원구,일식,9,4,4.9,2.2
2,은평구,일식,15,11,7.8,5.7
2,서대문구,일식,9,5,4.5,2.5
2,마포구,일식,39,19,6,2.9
2,양천구,일식,11,4,6.3,2.3
2,강서구,일식,18,11,4.8,2.9
2,구로구,일식,7,4,3.9,2.2
2,금천구,일식,2,3,1.9,2.8
2,영등포구,일식,12,4,3.4,1.1
2,동작구,일식,7,6,3.3,2.8
2,관악구,일식,11,8,3.8,2.7
2,서초구,일식,7,8,1.9,2.1
2,강남구,일식,29,14,3,1.5
2,송파구,일식,18,16,3.4,3
2,강동구,일식,13,13,5.2,5.2
3,종로구,일식,12,11,3.9,3.6
3,중구,일식,13,10,4.5,3.4
3,용산구,일식,10,9,3.9,3.5
3,성동구,일식,15,8,7.8,4.1
3,광진구,일식,9,11,3.5,4.3
3,동대문구,일식,14,10,7.7,5.5
3,중랑구,일식,10,9,7,6.3
3,성북구,일식,11,7,6,3.8
3,강북구,일식,6,8,4.8,6.4
3,도봉구,일식,0,6,0,6.1
3,노원구,일식,7,8,3.8,4.3
3,은평구,일식,6,9,3.2,4.7
3,서대문구,일식,7,12,3.6,6.1
3,마포구,일식,46,32,6.9,4.8
3,양천구,일식,11,11,6.3,6.3
3,강서구,일식,20,22,5.4,5.9
3,구로구,일식,2,9,1.2,5.2
3,금천구,일식,9,3,7.9,2.6
3,영등포구,일식,19,15,5.3,4.2
3,동작구,일식,7,8,3.3,3.7
3,관악구,일식,17,18,5.9,6.2
3,서초구,일식,15,18,4,4.8
3,강남구,일식,32,30,3.3,3.1
3,송파구,일식,20,14,3.8,2.6
