행정구역,생활밀접업종,2021년 1분기,,2022년 1분기,,2023년 1분기,,행정구역,생활밀접업종,2021년 1분기,,2022년 1분기,,2023년 1분기,,행정구역,생활밀접업종,2021년 1분기,,2022년 1분기,,2023년 1분기,,행정구역,생활밀접업종,2021년 1분기,,2022년 1분기,,2023년 1분기,,행정구역,생활밀접업종,2021년 1분기,,2022년 1분기,,2023년 1분기,,행정구역,생활밀접업종,2021년 1분기,,2022년 1분기,,2023년 1분기,,행정구역,생활밀접업종,2021년 1분기,,2022년 1분기,,2023년 1분기,,행정구역,생활밀접업종,2021년 1분기,,2022년 1분기,,2023년 1분기,,행정구역,생활밀접업종,2021년 1분기,,2022년 1분기,,2023년 1분기,,행정구역,생활밀접업종,2021년 1분기,,2022년 1분기,,2023년 1분기,
,,평균영업기간,,평균영업기간,,평균영업기간,,,,평균영업기간,,평균영업기간,,평균영업기간,,,,평균영업기간,,평균영업기간,,평균영업기간,,,,평균영업기간,,평균영업기간,,평균영업기간,,,,평균영업기간,,평균영업기간,,평균영업기간,,,,평균영업기간,,평균영업기간,,평균영업기간,,,,평균영업기간,,평균영업기간,,평균영업기간,,,,평균영업기간,,평균영업기간,,평균영업기간,,,,평균영업기간,,평균영업기간,,평균영업기간,,,,평균영업기간,,평균영업기간,,평균영업기간,
,,최근10년기준,최근30년기준,최근10년기준,최근30년기준,최근10년기준,최근30년기준,,,최근10년기준,최근30년기준,최근10년기준,최근30년기준,최근10년기준,최근30년기준,,,최근10년기준,최근30년기준,최근10년기준,최근30년기준,최근10년기준,최근30년기준,,,최근10년기준,최근30년기준,최근10년기준,최근30년기준,최근10년기준,최근30년기준,,,최근10년기준,최근30년기준,최근10년기준,최근30년기준,최근10년기준,최근30년기준,,,최근10년기준,최근30년기준,최근10년기준,최근30년기준,최근10년기준,최근30년기준,,,최근10년기준,최근30년기준,최근10년기준,최근30년기준,최근10년기준,최근30년기준,,,최근10년기준,최근30년기준,최근10년기준,최근30년기준,최근10년기준,최근30년기준,,,최근10년기준,최근30년기준,최근10년기준,최근30년기준,최근10년기준,최근30년기준,,,최근10년기준,최근30년기준,최근10년기준,최근30년기준,최근10년기준,최근30년기준
강북구,외식업/,2.6년,4.4년,2.6년,4.5년,2.7년,4.5년,강북구,외식업/,2.3년,4.2년,2.3년,4.2년,2.3년,4.1년,강북구,외식업/,2.4년,3.8년,2.4년,3.8년,2.5년,3.9년,강북구,외식업/,2.3년,3.3년,2.2년,3.3년,2.4년,3.3년,강북구,외식업/,2.9년,4.7년,2.6년,4.6년,2.7년,4.7년,강북구,외식업/,2.6년,4.4년,2.6년,4.3년,2.8년,4.4년,강북구,외식업/,2.5년,4.1년,2.5년,4.1년,2.5년,4.2년,강북구,외식업/,2.3년,3.5년,2.4년,3.6년,2.4년,3.6년,강북구,외식업/,2.4년,3.9년,2.4년,4년,2.5년,4년,강북구,외식업/,2.5년,3.2년,2.5년,3.2년,2.5년,3.1년
,한식음식점,,,,,,,,중식음식점,,,,,,,,일식음식점,,,,,,,,양식음식점,,,,,,,,제과점,,,,,,,,패스트푸드점,,,,,,,,치킨전문점,,,,,,,,분식전문점,,,,,,,,호프-간이주점,,,,,,,,커피-음료,,,,,,
도봉구,외식업/,2.7년,4.7년,2.7년,4.7년,2.8년,4.8년,도봉구,외식업/,2.9년,4.9년,2.8년,4.7년,2.8년,4.7년,도봉구,외식업/,2.5년,3.8년,2.5년,3.8년,2.4년,3.8년,도봉구,외식업/,2.7년,4년,2.7년,4년,2.8년,4.1년,도봉구,외식업/,2.5년,5년,2.4년,4.9년,2.5년,4.9년,도봉구,외식업/,2.9년,4.3년,2.9년,4.4년,3년,4.5년,도봉구,외식업/,2.5년,4.1년,2.6년,4.1년,2.6년,4.2년,도봉구,외식업/,2.4년,3.8년,2.4년,3.8년,2.3년,3.8년,도봉구,외식업/,2.7년,4.1년,2.7년,4.2년,2.7년,4.2년,도봉구,외식업/,2.8년,3.5년,2.7년,3.5년,2.6년,3.5년
,한식음식점,,,,,,,,중식음식점,,,,,,,,일식음식점,,,,,,,,양식음식점,,,,,,,,제과점,,,,,,,,패스트푸드점,,,,,,,,치킨전문점,,,,,,,,분식전문점,,,,,,,,호프-간이주점,,,,,,,,커피-음료,,,,,,
노원구,외식업/,2.8년,4.7년,2.8년,4.8년,2.9년,4.8년,노원구,외식업/,2.8년,4.7년,2.7년,4.7년,2.7년,4.7년,노원구,외식업/,2.5년,3.7년,2.6년,3.8년,2.7년,3.8년,노원구,외식업/,2.7년,3.9년,2.7년,3.9년,2.8년,4년,노원구,외식업/,3년,4.8년,2.8년,4.9년,3년,5년,노원구,외식업/,2.9년,4.8년,2.7년,4.7년,2.9년,4.8년,노원구,외식업/,2.5년,4.2년,2.4년,4.2년,2.5년,4.2년,노원구,외식업/,2.5년,3.9년,2.5년,3.9년,2.6년,4년,노원구,외식업/,2.9년,4.3년,2.9년,4.4년,2.9년,4.4년,노원구,외식업/,2.9년,3.4년,2.8년,3.5년,2.7년,3.5년
,한식음식점,,,,,,,,중식음식점,,,,,,,,일식음식점,,,,,,,,양식음식점,,,,,,,,제과점,,,,,,,,패스트푸드점,,,,,,,,치킨전문점,,,,,,,,분식전문점,,,,,,,,호프-간이주점,,,,,,,,커피-음료,,,,,,
은평구,외식업/,2.6년,4.5년,2.6년,4.6년,2.7년,4.6년,은평구,외식업/,2.5년,4.6년,2.5년,4.5년,2.5년,4.5년,은평구,외식업/,2.6년,3.8년,2.5년,3.7년,2.5년,3.8년,은평구,외식업/,2.2년,3.4년,2.3년,3.4년,2.4년,3.4년,은평구,외식업/,2.8년,4.6년,2.8년,4.6년,2.9년,4.6년,은평구,외식업/,2.6년,4.2년,2.6년,4.2년,2.8년,4.3년,은평구,외식업/,2.4년,4.1년,2.3년,4.1년,2.3년,4.1년,은평구,외식업/,2.4년,3.6년,2.4년,3.7년,2.4년,3.7년,은평구,외식업/,2.6년,4.3년,2.6년,4.3년,2.7년,4.4년,은평구,외식업/,2.6년,3.3년,2.5년,3.2년,2.5년,3.2년
,한식음식점,,,,,,,,중식음식점,,,,,,,,일식음식점,,,,,,,,양식음식점,,,,,,,,제과점,,,,,,,,패스트푸드점,,,,,,,,치킨전문점,,,,,,,,분식전문점,,,,,,,,호프-간이주점,,,,,,,,커피-음료,,,,,,
서대문구,외식업/,2.9년,5.1년,2.9년,5.2년,3년,5.3년,서대문구,외식업/,2.8년,4.3년,2.8년,4.3년,2.9년,4.4년,서대문구,외식업/,2.9년,4.2년,3년,4.2년,2.9년,4.3년,서대문구,외식업/,2.6년,4.1년,2.6년,4.1년,2.7년,4.1년,서대문구,외식업/,3년,4.7년,2.9년,4.7년,2.9년,4.7년,서대문구,외식업/,3년,4.8년,2.8년,4.7년,3년,4.8년,서대문구,외식업/,2.7년,4.6년,2.6년,4.6년,2.5년,4.6년,서대문구,외식업/,2.5년,3.9년,2.5년,4년,2.4년,4년,서대문구,외식업/,2.8년,4.5년,2.9년,4.5년,2.9년,4.6년,서대문구,외식업/,2.8년,3.5년,2.7년,3.5년,2.6년,3.5년
,한식음식점,,,,,,,,중식음식점,,,,,,,,일식음식점,,,,,,,,양식음식점,,,,,,,,제과점,,,,,,,,패스트푸드점,,,,,,,,치킨전문점,,,,,,,,분식전문점,,,,,,,,호프-간이주점,,,,,,,,커피-음료,,,,,,
