,분기,시군구명,서비스업종코드,서비스업종,매출등급,매출등급01,개업수,폐업수,개업률,폐업률,1년생존률,3년생존률,5년생존률,1년생존률(신),3년생존률(신),5년생존률(신),최근10년영업기간,최근30년영업기간
42,1,송파구,CS100002,중식,3.1559633027522938,2,13,9,4.7,3.2,79.2,56.6,35.8,83.3,41.8,49.0,2.6년,4.2년
43,1,양천구,CS100002,중식,2.828828828828829,1,4,4,3.0,3.0,69.2,53.8,23.1,70.6,47.6,37.5,2.8년,4.8년
44,1,영등포구,CS100002,중식,2.74245939675174,1,25,23,4.2,3.8,71.5,40.0,30.9,75.9,48.0,25.4,2.5년,3.6년
45,1,용산구,CS100002,중식,3.439655172413793,2,3,6,1.7,3.5,70.8,54.2,37.5,86.4,71.4,47.6,3.1년,5.6년
46,1,은평구,CS100002,중식,2.747967479674797,1,10,8,6.2,4.9,70.0,53.3,36.7,66.7,45.8,33.3,2.5년,4.5년
47,1,종로구,CS100002,중식,3.40625,2,6,9,2.9,4.3,73.9,47.8,41.3,95.2,41.0,34.2,2.8년,5.3년
48,1,중구,CS100002,중식,3.6440677966101696,2,4,3,1.5,1.1,83.3,47.6,33.3,88.5,63.5,51.4,3.1년,5.1년
49,1,중랑구,CS100002,중식,2.681318681318681,0,3,2,2.8,1.8,64.3,28.6,28.6,66.7,37.0,30.8,2.3년,4.1년
50,1,강남구,CS100003,일식,3.6133540372670807,2,27,27,2.9,2.9,80.3,53.4,42.7,83.2,62.9,43.5,2.8년,4.2년
51,1,강동구,CS100003,일식,2.583333333333333,0,10,5,4.0,2.0,62.5,43.8,33.3,88.5,56.3,28.6,2.4년,4.1년
52,1,강북구,CS100003,일식,2.466019417475728,0,5,4,3.9,3.1,86.1,47.2,33.3,77.8,53.6,24.2,2.4년,3.8년
53,1,강서구,CS100003,일식,2.93609022556391,1,20,8,5.4,2.2,77.8,50.6,46.9,82.1,44.9,30.4,2.5년,3.7년
54,1,관악구,CS100003,일식,2.681372549019608,0,11,9,3.8,3.1,68.5,53.7,38.9,77.6,48.4,29.8,2.4년,3.6년
55,1,광진구,CS100003,일식,2.707920792079208,0,6,4,2.4,1.6,81.0,54.8,47.6,78.8,50.8,26.8,2.7년,4.2년
56,1,구로구,CS100003,일식,2.844262295081968,1,4,7,2.3,4.0,75.0,58.3,50.0,76.7,58.3,42.9,2.8년,4.7년
57,1,금천구,CS100003,일식,2.8026315789473686,1,1,2,0.9,1.8,85.7,42.9,28.6,90.5,57.1,35.3,2.6년,3.9년
58,1,노원구,CS100003,일식,2.8088235294117645,1,1,3,0.6,1.7,51.1,33.3,22.2,82.9,44.2,39.5,2.6년,3.8년
59,1,도봉구,CS100003,일식,2.333333333333333,0,3,1,2.9,1.0,80.0,40.0,30.0,75.0,57.1,27.8,2.5년,3.8년
60,1,동대문구,CS100003,일식,2.3684210526315788,0,8,8,4.6,4.6,66.7,42.9,33.3,82.8,33.3,46.4,2.6년,4.1년
61,1,동작구,CS100003,일식,2.7375886524822697,1,6,3,2.8,1.4,81.6,44.9,38.8,85.2,54.5,33.3,2.9년,5년
62,1,마포구,CS100003,일식,3.0877551020408163,1,18,12,2.8,1.9,73.4,46.2,34.3,87.0,46.9,34.8,2.7년,3.7년
63,1,서대문구,CS100003,일식,2.6875,0,3,5,1.5,2.5,64.9,40.5,32.4,90.5,57.8,33.3,3년,4.2년
64,1,서초구,CS100003,일식,3.4746376811594204,2,12,9,3.2,2.4,78.4,63.5,51.4,91.1,60.0,29.9,3년,4.7년
65,1,성동구,CS100003,일식,3.1349693251533743,1,7,4,3.9,2.2,80.4,56.5,45.7,89.2,43.9,25.0,2.6년,3.8년
66,1,성북구,CS100003,일식,2.5702479338842976,0,4,1,2.3,0.6,71.4,46.9,40.8,73.1,53.3,30.4,2.6년,4년
67,1,송파구,CS100003,일식,2.878787878787879,1,20,13,3.8,2.5,71.3,51.9,38.9,82.4,47.8,43.0,2.8년,4.5년
68,1,양천구,CS100003,일식,2.5528455284552845,0,4,4,2.4,2.4,66.7,47.6,40.5,77.1,51.4,40.9,2.5년,4년
69,1,영등포구,CS100003,일식,3.268595041322314,2,10,7,2.9,2.0,80.0,55.0,45.0,85.3,43.4,47.9,2.9년,4.6년
70,1,용산구,CS100003,일식,3.303370786516854,2,5,5,1.9,1.9,60.4,39.6,27.1,81.4,54.5,20.5,2.8년,4.3년
71,1,은평구,CS100003,일식,2.4959349593495936,0,11,3,5.8,1.6,71.4,42.9,28.6,90.0,56.3,25.0,2.5년,3.7년
72,1,종로구,CS100003,일식,3.2452830188679247,2,7,5,2.3,1.7,77.4,54.8,43.5,94.4,51.3,33.9,2.9년,4.8년
73,1,중구,CS100003,일식,3.2962962962962963,2,4,6,1.4,2.1,71.2,33.9,25.4,100.0,53.8,31.3,2.9년,5년
74,1,중랑구,CS100003,일식,2.39622641509434,0,7,4,5.0,2.9,75.0,50.0,40.0,81.3,61.5,61.1,2.7년,3.8년
75,1,강남구,CS100004,기타 외국식,3.519205298013245,2,39,37,2.7,2.6,72.8,47.4,38.8,85.4,53.4,30.1,2.6년,3.7년
76,1,강동구,CS100004,기타 외국식,2.638095238095238,0,6,4,2.8,1.9,77.1,45.7,40.0,74.5,47.4,42.1,2.4년,3.5년
77,1,강북구,CS100004,기타 외국식,2.2794117647058822,0,4,2,3.7,1.9,50.0,25.0,25.0,70.4,66.7,5.9,2.2년,3.3년
78,1,강서구,CS100004,기타 외국식,2.6923076923076925,0,15,10,5.3,3.5,77.3,48.0,40.0,72.4,44.4,31.3,2.4년,3.3년
79,1,관악구,CS100004,기타 외국식,2.509933774834437,0,8,9,2.8,3.2,77.1,52.1,41.7,70.4,64.9,25.0,2.4년,3.8년
80,1,광진구,CS100004,기타 외국식,2.7517241379310344,1,9,5,3.5,2.0,72.0,46.0,32.0,84.8,56.9,31.8,2.5년,3.9년
81,1,구로구,CS100004,기타 외국식,2.426829268292683,0,3,3,2.1,2.1,84.6,53.8,50.0,81.0,45.5,37.9,2.7년,3.7년
82,1,금천구,CS100004,기타 외국식,2.583333333333333,0,4,2,3.9,2.0,66.7,44.4,22.2,76.0,52.9,33.3,2.5년,3.8년
83,1,노원구,CS100004,기타 외국식,2.811111111111111,1,3,1,1.6,0.5,76.7,50.0,46.7,79.4,55.2,40.0,2.7년,3.9년
84,1,도봉구,CS100004,기타 외국식,2.056603773584906,0,1,5,1.0,5.1,76.5,35.3,17.6,81.3,31.3,34.8,2.7년,4년
85,1,동대문구,CS100004,기타 외국식,2.451923076923077,0,2,3,1.0,1.5,73.7,31.6,28.9,94.1,51.2,38.9,2.7년,3.9년
86,1,동작구,CS100004,기타 외국식,2.85,1,3,4,2.0,2.6,85.3,35.3,26.5,89.3,68.4,25.6,2.8년,3.8년
87,1,마포구,CS100004,기타 외국식,2.8408710217755444,1,18,15,1.9,1.6,74.5,43.8,29.2,88.8,60.0,32.5,2.7년,3.6년
88,1,서대문구,CS100004,기타 외국식,2.786764705882353,1,5,2,1.9,0.7,64.9,35.1,31.6,77.8,50.9,27.5,2.6년,4.1년
89,1,서초구,CS100004,기타 외국식,3.3645484949832776,2,15,8,2.7,1.5,80.8,50.5,41.4,80.3,54.9,43.2,3년,3.8년
90,1,성동구,CS100004,기타 외국식,3.1435185185185186,2,14,9,4.1,2.6,79.7,49.2,37.3,92.6,64.7,32.6,2.3년,3.3년
91,1,성북구,CS100004,기타 외국식,2.468468468468469,0,9,5,3.6,2.0,78.2,52.7,38.2,85.7,56.4,46.7,2.7년,3.9년
92,1,송파구,CS100004,기타 외국식,2.798418972332016,1,14,7,2.7,1.3,76.1,53.3,40.2,83.9,63.2,38.8,2.7년,3.7년
93,1,양천구,CS100004,기타 외국식,2.6447368421052637,0,7,7,4.3,4.3,82.6,39.1,30.4,84.6,48.4,30.8,2.3년,3.9년
